size,linear_us,bst_us,rbt_us,hash_us,multimap_us,collisions
100,0.9,0.2,0.3,0.1,0.1,0
500,3.2,0.2,0.2,0.1,0.2,0
1000,7.9,0.1,0.3,0.1,0.2,3
5000,59.7,0.4,0.3,0.4,0.8,29
10000,85.6,0.4,0.2,0.1,0.5,108
20000,190.6,0.3,0.2,0.2,1.1,235
30000,257.2,0.7,1.2,0.2,0.7,329
50000,443.3,0.4,1.1,1.7,0.9,442
75000,613.3,1.2,1,0.7,2.7,469
100000,870.5,1,0.9,1.6,1.6,473
200000,1564.6,2.3,1.2,1.1,2.5,475
300000,2792.9,2,1.4,0.8,7.3,475
500000,4109.5,3.6,2,1.7,5.7,475
750000,5752.2,2.9,2.5,1.9,9.5,475
1000000,8851.6,4.8,1.9,2.1,9.4,475
